squeue -u zuimran
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          18118963      GPUQ zc-bead3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118962      GPUQ zc-f103a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118961      GPUQ zc-21ff8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118960      GPUQ zc-632c2  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118959      GPUQ zc-84bdb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118958      GPUQ zc-8389c  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118957      GPUQ zc-36056  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118956      GPUQ zc-eb018  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118955      GPUQ zc-660b5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118954      GPUQ zc-b9021  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118953      GPUQ zc-697ab  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118952      GPUQ zc-844da  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118951      GPUQ zc-0430a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118950      GPUQ zc-34f6a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118949      GPUQ zc-4cbf6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118948      GPUQ zc-23ca5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118947      GPUQ zc-ad5cf  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18118946      GPUQ zc-b9447  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
